SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,NPOPCHG_2000,NPOPCHG_2001,NPOPCHG_2002,NPOPCHG_2003,NPOPCHG_2004,NPOPCHG_2005,NPOPCHG_2006,NPOPCHG_2007,NPOPCHG_2008,NPOPCHG_2009,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,BIRTHS2005,BIRTHS2006,BIRTHS2007,BIRTHS2008,BIRTHS2009,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,DEATHS2005,DEATHS2006,DEATHS2007,DEATHS2008,DEATHS2009,NATURALINC2000,NATURALINC2001,NATURALINC2002,NATURALINC2003,NATURALINC2004,NATURALINC2005,NATURALINC2006,NATURALINC2007,NATURALINC2008,NATURALINC2009,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNATIONALMIG2005,INTERNATIONALMIG2006,INTERNATIONALMIG2007,INTERNATIONALMIG2008,INTERNATIONALMIG2009,DOMESTICMIG2000,DOMESTICMIG2001,DOMESTICMIG2002,DOMESTICMIG2003,DOMESTICMIG2004,DOMESTICMIG2005,DOMESTICMIG2006,DOMESTICMIG2007,DOMESTICMIG2008,DOMESTICMIG2009,NETMIG2000,NETMIG2001,NETMIG2002,NETMIG2003,NETMIG2004,NETMIG2005,NETMIG2006,NETMIG2007,NETMIG2008,NETMIG2009,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004,RESIDUAL2005,RESIDUAL2006,RESIDUAL2007,RESIDUAL2008,RESIDUAL2009,RBIRTH2001,RBIRTH2002,RBIRTH2003,RBIRTH2004,RBIRTH2005,RBIRTH2006,RBIRTH2007,RBIRTH2008,RBIRTH2009,RDEATH2001,RDEATH2002,RDEATH2003,RDEATH2004,RDEATH2005,RDEATH2006,RDEATH2007,RDEATH2008,RDEATH2009,RNATURALINC2001,RNATURALINC2002,RNATURALINC2003,RNATURALINC2004,RNATURALINC2005,RNATURALINC2006,RNATURALINC2007,RNATURALINC2008,RNATURALINC2009,RINTERNATIONALMIG2001,RINTERNATIONALMIG2002,RINTERNATIONALMIG2003,RINTERNATIONALMIG2004,RINTERNATIONALMIG2005,RINTERNATIONALMIG2006,RINTERNATIONALMIG2007,RINTERNATIONALMIG2008,RINTERNATIONALMIG2009,RDOMESTICMIG2001,RDOMESTICMIG2002,RDOMESTICMIG2003,RDOMESTICMIG2004,RDOMESTICMIG2005,RDOMESTICMIG2006,RDOMESTICMIG2007,RDOMESTICMIG2008,RDOMESTICMIG2009,RNETMIG2001,RNETMIG2002,RNETMIG2003,RNETMIG2004,RNETMIG2005,RNETMIG2006,RNETMIG2007,RNETMIG2008,RNETMIG2009
040,1,1,23,Maine,1274923,1274915,1277211,1284791,1293938,1303102,1308253,1311631,1314963,1317308,1319691,1318301,2296,7580,9147,9164,5151,3378,3332,2345,2383,-1390,3503,13723,13346,13786,14048,13991,14098,14336,13805,13683,2970,12279,12552,12694,12533,12861,12409,12416,12562,12894,533,1444,794,1092,1515,1130,1689,1920,1243,789,271,1025,809,291,1171,894,1089,817,884,828,1465,6267,8667,9161,3607,2713,1543,-172,411,-2937,1736,7292,9476,9452,4778,3607,2632,645,1295,-2109,27,-1156,-1123,-1380,-1142,-1359,-989,-220,-155,-70,10.712716071,10.350835625,10.616702092,10.759165261,10.680625554,10.734814745,10.892495492,10.470235294,10.373799466,9.5854726109,9.7350283803,9.775744694,9.5988481076,9.8179919416,9.4487385565,9.4336791311,9.5274969767,9.7756172119,1.1272434604,0.6158072446,0.8409573977,1.1603171534,0.8626336128,1.2860761884,1.4588163605,0.9427383173,0.5981822538,0.8001555034,0.6274408827,0.2241012845,0.8968524004,0.6824729645,0.8292107574,0.6207567534,0.670459109,0.6277501979,4.8922678437,6.7219161067,7.0549548717,2.7625504767,2.0710840633,1.1749056002,-0.130685632,0.3117179794,-2.226693637,5.6924233471,7.3493569894,7.2790561562,3.6594028771,2.7535570277,2.0041163575,0.4900711211,0.9821770884,-1.598943439
040,3,5,24,Maryland,5296486,5296544,5310579,5375033,5439913,5496708,5542659,5582520,5612196,5634242,5658655,5699478,14035,64454,64880,56795,45951,39861,29676,22046,24413,40823,18370,73809,73116,73806,75196,74925,76062,78210,77791,76984,10123,43790,44118,43847,44152,44032,42916,44216,43622,44219,8247,30019,28998,29959,31044,30893,33146,33994,34169,32765,5893,22150,20636,16014,22079,21818,23279,20013,19815,19565,-197,8897,12911,7410,-11153,-12653,-27377,-33191,-29456,-11163,5696,31047,33547,23424,10926,9165,-4098,-13178,-9641,8402,92,3388,2335,3412,3981,-197,628,1230,-115,-344,13.814650953,13.52128804,13.497038985,13.623244884,13.469446199,13.588911054,13.90840371,13.776978573,13.555748995,8.1960677592,8.1587092529,8.0183815458,7.9990093635,7.9157378052,7.6671886987,7.8631118582,7.7255641312,7.7863148812,5.6185831939,5.3625787868,5.4786574391,5.62423552,5.5537083943,5.9217223554,6.0452918515,6.0514144422,5.7694341139,4.1457616092,3.8162002843,2.9285096375,4.0000481912,3.9222739697,4.1589264078,3.5589935231,3.509285527,3.4451084522,1.6652298436,2.3876217228,1.3550803306,-2.020586869,-2.27466003,-4.891057531,-5.902491082,-5.216730481,-1.965639952,5.8109914528,6.2038220071,4.2835899681,1.9794613224,1.6476139395,-0.732131123,-2.343497559,-1.707444954,1.4794685007
040,1,1,25,Massachusetts,6349097,6349119,6363015,6411730,6440978,6451637,6451279,6453031,6466399,6499275,6543595,6593587,13896,48715,29248,10659,-358,1752,13368,32876,44320,49992,20785,81617,80664,80295,79512,77498,77412,77683,77014,76968,13099,57234,56625,56201,55970,54720,53824,53116,53477,54481,7686,24383,24039,24094,23542,22778,23588,24567,23537,22487,7988,30635,29139,25569,24522,25786,27691,24781,24516,24518,-2046,-14677,-30511,-44632,-54695,-55077,-42445,-26575,-9724,3614,5942,15958,-1372,-19063,-30173,-29291,-14754,-1794,14792,28132,268,8374,6581,5628,6273,8265,4534,10103,5991,-627,12.777867582,12.552062958,12.45596801,12.324655915,12.011180761,11.983810431,11.982871079,11.809364043,11.717581442,8.9604919707,8.8113726695,8.7183244051,8.6755583002,8.4808873934,8.3322561444,8.1933264711,8.2001890688,8.2941684145,3.817375611,3.7406902888,3.7376436045,3.6490976148,3.5302933671,3.6515542868,3.7895446083,3.6091749745,3.4234130272,4.7961818416,4.5342973636,3.9664567661,3.801001262,3.9964941946,4.2867216278,3.8225548475,3.7592953085,3.732611758,-2.297814947,-4.747793228,-6.92365358,-8.477928555,-8.536217744,-6.570723321,-4.099285544,-1.491082867,0.5501940979,2.498366895,-0.213495864,-2.957196814,-4.676927293,-4.53972355,-2.284001694,-0.276730697,2.268212441,4.2828058559
040,2,3,26,Michigan,9938444,9938492,9955308,10006093,10038767,10066351,10089305,10090554,10082438,10050847,10002486,9969727,16816,50785,32674,27584,22954,1249,-8116,-31591,-48361,-32759,34501,135010,131196,130096,131448,128345,127348,126783,125902,125668,20408,87490,87060,86752,86680,87385,85287,87382,87166,86934,14093,47520,44136,43344,44768,40960,42061,39401,38736,38734,5791,23765,21880,18490,17099,17369,17596,15900,15332,15446,-3279,-23844,-34907,-33078,-40087,-57347,-70056,-87176,-103637,-87339,2512,-79,-13027,-14588,-22988,-39978,-52460,-71276,-88305,-71893,211,3344,1565,-1172,1174,267,2283,284,1208,400,13.527106639,13.090238595,12.941580348,13.043286708,12.720108698,12.625593665,12.594367983,12.556715634,12.584283975,8.765917783,8.6865161443,8.6298424113,8.6010596728,8.6606155177,8.4555627643,8.6803519644,8.6934176977,8.7054949794,4.7611888564,4.4037224505,4.3117379366,4.4422270354,4.0594931808,4.1700309007,3.9140160187,3.8632979366,3.8787889955,2.3810953951,2.1831032993,1.8393326515,1.6966949624,1.7214193618,1.7445106804,1.5794739905,1.5291223658,1.5467489757,-2.389010671,-3.482887882,-3.290505432,-3.977742029,-5.683587779,-6.945523996,-8.659888339,-10.33613714,-8.746051326,-0.007915276,-1.299784583,-1.451172781,-2.281047067,-3.962168418,-5.201013315,-7.080414349,-8.807014774,-7.199302351
040,2,4,27,Minnesota,4919479,4919492,4933958,4982813,5017458,5047862,5079344,5106560,5148346,5191206,5230567,5266214,14466,48855,34645,30404,31482,27216,41786,42860,39361,35647,16942,67846,66741,69063,71061,70815,72039,73934,73082,72771,8586,38004,38075,37859,37815,37711,36604,37529,38025,38256,8356,29842,28666,31204,33246,33104,35435,36405,35057,34515,3437,14146,13263,11466,10875,11329,11449,10387,9970,10066,2673,7478,-5068,-9439,-7677,-12579,-1790,-3341,-5406,-8813,6110,21624,8195,2027,3198,-1250,9659,7046,4564,1253,0,-2611,-2216,-2827,-4962,-4638,-3308,-591,-260,-121,13.683082931,13.347838274,13.722961615,14.03368313,13.904509605,14.049665594,14.301199897,14.024868897,13.865393591,7.6645916297,7.6147936391,7.522661972,7.4680025271,7.4045465184,7.1388270161,7.2593087205,7.297222843,7.2890917701,6.0184913013,5.7330446345,6.2002996427,6.5656806033,6.4999630862,6.9108385781,7.0418911767,6.7276460541,6.5763018205,2.8529447741,2.6525281165,2.2783180266,2.147680219,2.2244466471,2.2328824857,2.0091779605,1.913302084,1.9179213132,1.5081521999,-1.013572532,-1.875548914,-1.516114119,-2.469883871,-0.349101201,-0.64625624,-1.037443437,-1.679181456,4.361096974,1.6389555843,0.4027691122,0.6315661003,-0.245437224,1.8837812848,1.3629217204,0.8758586471,0.2387398575
040,3,6,28,Mississippi,2844658,2844666,2848310,2853313,2858643,2867678,2886006,2900116,2897150,2921723,2940212,2951996,3644,5003,5330,9035,18328,14110,-2966,24573,18489,11784,10273,43400,41743,41729,42725,42766,43448,47099,45700,44125,6695,28666,28324,28363,28369,28603,28596,28628,28014,28934,3578,14734,13419,13366,14356,14163,14852,18471,17686,15191,630,2149,1366,-485,3143,2079,2796,1866,2089,1939,-484,-9324,-7149,-1221,3768,590,-19588,3968,-1576,-5529,146,-7175,-5783,-1706,6911,2669,-16792,5834,513,-3590,-80,-2556,-2306,-2625,-2939,-2722,-1026,268,290,183,15.223735417,14.616008947,14.57445365,14.851354367,14.782266948,14.989134533,16.188358124,15.592121032,14.977407451,10.055382476,9.9174433417,9.906185839,9.8611602584,9.8867600787,9.8653399723,9.8397060737,9.557936074,9.8211061117,5.1683529409,4.6985656052,4.668267811,4.9901941087,4.8955068697,5.1237945611,6.34865205,6.0341849577,5.156301339,0.7538204473,0.4782950009,-0.169393228,1.0925174201,0.7186160264,0.96459262,0.6413613083,0.7127339351,0.6581573495,-3.270647673,-2.503170543,-0.426451818,1.309769532,0.2039362461,-6.757668184,1.3638379803,-0.537706406,-1.876715825,-2.516827226,-2.024875542,-0.595845046,2.4022869522,0.9225522725,-5.793075564,2.0051992886,0.1750275293,-1.218558476
040,2,4,29,Missouri,5595211,5596684,5606065,5643986,5680852,5714847,5758444,5806639,5861572,5909824,5956335,5987580,9381,37921,36866,33995,43597,48195,54933,48252,46511,31245,18806,75674,75213,75872,77939,78120,79734,82101,81829,80865,12423,54840,55533,55122,55370,54572,54484,54604,54830,55449,6383,20834,19680,20750,22569,23548,25250,27497,26999,25416,2340,8533,7307,4644,7733,6849,7498,6117,6266,6133,763,2420,3784,5277,4433,7761,14264,6383,-2920,-124,3103,10953,11091,9921,12166,14610,21762,12500,3346,6009,-105,6134,6095,3324,8862,10037,7921,8255,16166,-180,13.453094568,13.282839013,13.315901025,13.586162854,13.50963067,13.66687661,13.949237627,13.791994528,13.54078625,9.7492891366,9.8072926076,9.6741761958,9.6519821558,9.437372823,9.3388780851,9.2774043113,9.2414065916,9.2848952793,3.7038054316,3.4755464052,3.6417248297,3.9341806985,4.0722578472,4.3279985252,4.6718333153,4.5505879367,4.2558909704,1.5169709008,1.2904378853,0.8150443426,1.3480003253,1.1844272972,1.2852013046,1.0392989922,1.0561125972,1.0269664511,0.4302202719,0.6682656299,0.926138888,0.7727512533,1.3421434157,2.4449335035,1.084493292,-0.492155886,-0.020763711,1.9471911727,1.9587035152,1.7411832306,2.1207515786,2.5265707129,3.7301348082,2.1237922843,0.5639567108,1.0062027401
040,4,8,30,Montana,902195,902190,903293,905873,909868,916750,925887,934801,946230,957225,968035,974989,1103,2580,3995,6882,9137,8914,11429,10995,10810,6954,2856,10919,10934,11197,11446,11585,11934,12412,12621,12675,1946,8189,8361,8410,8443,8445,8205,8404,8397,8595,910,2730,2573,2787,3003,3140,3729,4008,4224,4080,116,435,218,-190,570,367,491,317,374,344,85,-397,1389,4545,6071,5712,7360,6620,6143,2410,201,38,1607,4355,6641,6079,7851,6937,6517,2754,-8,-188,-185,-260,-507,-305,-151,50,69,120,12.070755254,12.043567888,12.259815681,12.423499582,12.452383204,12.688786097,13.041548132,13.110956442,13.046673639,9.0527900701,9.2094632439,9.208274527,9.1640404486,9.077287541,8.7239391589,8.8302586612,8.7229776757,8.8470343135,3.017965184,2.8341046438,3.0515411542,3.2594591338,3.3750956635,3.9648469377,4.211289471,4.3879787665,4.1996393251,0.4808845623,0.2401223523,-0.20803474,0.6186785569,0.3944777416,0.5220541288,0.3330785335,0.3885189533,0.3540872372,-0.438876256,1.5299538866,4.9764099554,6.5894693312,6.1396644682,7.8254956989,6.9557725294,6.3814757487,2.4806693072,0.0420083066,1.7700762388,4.7683752158,7.2081478881,6.5341422098,8.3475498277,7.2888510629,6.769994702,2.8347565444
040,2,4,31,Nebraska,1711263,1711265,1713345,1717948,1725083,1733680,1742184,1751721,1760435,1769912,1781949,1796619,2080,4603,7135,8597,8504,9537,8714,9477,12037,14670,6095,24736,24873,25688,26351,26279,26228,27065,27012,27505,3392,15135,15567,15428,15278,14884,15044,15072,14861,14965,2703,9601,9306,10260,11073,11395,11184,11993,12151,12540,1253,4403,3788,2590,3749,3357,3633,3103,3043,3069,-1869,-8360,-4906,-2749,-5157,-3524,-4978,-5538,-3107,-956,-616,-3957,-1118,-159,-1408,-167,-1345,-2435,-64,2113,-7,-1041,-1053,-1504,-1161,-1691,-1125,-81,-50,17,14.417888534,14.448316033,14.853865385,15.162273323,15.042767333,14.935555254,15.332770405,15.210054673,15.372070616,8.8217473705,9.0426139062,8.9211085004,8.7909078146,8.5199797934,8.5668176471,8.5385374299,8.3680076444,8.3636806678,5.5961411631,5.405702127,5.9327568845,6.371365508,6.52278754,6.3687376073,6.7942329748,6.8420470283,7.0083899482,2.566379496,2.2003868103,1.4976452564,2.1571615,1.9216320993,2.068814711,1.7579008522,1.7134679538,1.7152112242,-4.87279868,-2.849814596,-1.589585641,-2.96731978,-2.017227143,-2.83472602,-3.13736865,-1.7495054,-0.534291929,-2.306419184,-0.649427786,-0.091940384,-0.81015828,-0.095595043,-0.765911309,-1.379467797,-0.036037446,1.1809192951
040,4,8,32,Nevada,1998257,1998260,2018211,2094509,2166214,2236949,2328703,2408804,2493405,2567752,2615772,2643085,19951,76298,71705,70735,91754,80101,84601,74347,48020,27313,7387,31007,32013,32978,34409,35766,38311,40733,40428,40200,3690,15569,16831,17000,17836,18199,18605,18667,18959,19796,3697,15438,15182,15978,16573,17567,19706,22066,21469,20404,3291,13403,12778,10844,11953,12387,12730,11305,11021,10969,13250,47928,44120,43321,67020,52464,54069,40769,15622,-3801,16541,61331,56898,54165,78973,64851,66799,52074,26643,7168,-287,-471,-375,592,-3792,-2317,-1904,207,-92,-259,15.078585462,15.027027103,14.979231975,15.0729841,15.099080592,15.630096554,16.096319478,15.598654506,15.288493298,7.5711451302,7.9005370685,7.7217218622,7.8131228574,7.682943793,7.5904556497,7.3765741707,7.3151006921,7.5286321724,7.5074403315,7.1264900347,7.2575101126,7.2598612422,7.4161367994,8.0396409047,8.7197453072,8.283553814,7.7598611257,6.5178276177,5.9980430551,4.9255501102,5.2360539086,5.2293326427,5.193577018,4.4673579579,4.2523194645,4.17162893,23.307203019,20.71010014,19.6772184,29.358347942,22.148357776,22.059035019,16.110545474,6.0275596293,-1.445561269,29.825030637,26.708143195,24.60276851,34.594401851,27.377690418,27.252612037,20.577903432,10.279879094,2.7260676607
040,1,1,33,New Hampshire,1235786,1235791,1240446,1256879,1271163,1281871,1292766,1301415,1311894,1317343,1321872,1324575,4655,16433,14284,10708,10895,8649,10479,5449,4529,2703,3779,14514,14651,14522,14667,15482,15406,14388,14026,14036,2276,9838,9853,9629,10031,10174,9996,10286,10365,10449,1503,4676,4798,4893,4636,5308,5410,4102,3661,3587,624,2319,2184,1838,1899,1966,2097,1852,1807,1787,2499,10517,8378,5484,5429,2720,3848,-340,-846,-2602,3123,12836,10562,7322,7328,4686,5945,1512,961,-815,29,-1079,-1076,-1507,-1069,-1345,-876,-165,-93,-69,11.623637292,11.590788444,11.376268393,11.393450805,11.935944331,11.790415906,10.944620055,10.628918068,10.607429508,7.8788303485,7.7949654317,7.5431819553,7.7921664297,7.8437086695,7.6500712315,7.8243231782,7.8546082831,7.8966251733,3.7448069434,3.7958230124,3.8330864375,3.6012843752,4.0922356613,4.1403446741,3.120296877,2.7743097853,2.710804335,1.8571871903,1.7278193954,1.4398554818,1.4751594108,1.5156999454,1.604861882,1.4087737241,1.3693465671,1.350489921,8.422612195,6.628054439,4.2960649956,4.2172935447,2.0970009417,2.94492538,-0.258630165,-0.641099721,-1.966410058,10.279799385,8.3558738344,5.7359204774,5.6924529555,3.6127008871,4.549787262,1.1501435588,0.7282468461,-0.615920137
040,1,2,34,New Jersey,8414350,8414378,8430921,8489469,8544115,8583481,8611530,8621837,8623721,8636043,8663398,8707739,16543,58548,54646,39366,28049,10307,1884,12322,27355,44341,27278,112168,112854,115968,116468,112046,109251,111339,111094,110471,16790,72782,74829,73374,73662,72187,69486,69823,69914,71676,10488,39386,38025,42594,42806,39859,39765,41516,41180,38795,14542,54557,50551,42990,40207,41207,42691,38252,37446,37360,-8396,-32125,-30918,-42316,-51304,-67216,-76853,-67751,-51234,-31690,6146,22432,19633,674,-11097,-26009,-34162,-29499,-13788,5670,-91,-3270,-3012,-3902,-3660,-3543,-3719,305,-37,-124,13.258323242,13.250763903,13.541655233,13.546720034,13.003378852,12.670045237,12.901566904,12.843652,12.718914139,8.6028749928,8.7860546553,8.5679274546,8.5678340072,8.3775851811,8.0584229284,8.0908406395,8.0828045253,8.2523095638,4.6554482491,4.4647092473,4.9737277783,4.9788860269,4.6257936711,4.6116223088,4.8107262649,4.7608474748,4.4666045752,6.4486693274,5.9354508129,5.0199689437,4.6765890409,4.7822343713,4.9509560665,4.4325055661,4.3291572254,4.3013879863,-3.7971938,-3.630240119,-4.941265546,-5.967312263,-7.800681086,-8.912787861,-7.850744657,-5.923197172,-3.648580977,2.6514755275,2.3052106944,0.0787033977,-1.290723222,-3.018446714,-3.961831795,-3.418239091,-1.594039946,0.6528070097
040,4,8,35,New Mexico,1819046,1819041,1820813,1828809,1850035,1869683,1891829,1916538,1942608,1968731,1986763,2009671,1772,7996,21226,19648,22146,24709,26070,26123,18032,22908,6550,27276,27352,27802,28046,28838,29080,30507,30209,30106,3143,13898,14335,14313,14740,14627,15363,15142,15052,15562,3407,13378,13017,13489,13306,14211,13717,15365,15157,14544,1534,5648,5039,3552,5734,5347,5801,4888,4972,4828,-3168,-9389,4552,4335,4938,6958,7822,5940,-2139,3366,-1634,-3741,9591,7887,10672,12305,13623,10828,2833,8194,-1,-1641,-1382,-1728,-1832,-1807,-1270,-70,42,170,14.947301392,14.869888476,14.948445017,14.912088543,15.144548832,15.070691806,15.599261532,15.274451181,15.066431724,7.6161312048,7.7932089537,7.6957446774,7.8372739473,7.6815075858,7.961865138,7.7426170424,7.6106802336,7.7879429511,7.3311701869,7.0766795222,7.2527003391,7.0748145958,7.4630412458,7.1088266679,7.8566444893,7.6637709474,7.2784887727,3.0951150558,2.7394475004,1.9098221962,3.0487740036,2.8080276927,3.0063646206,2.4993998219,2.5139717062,2.4161540013,-5.145190379,2.4746904191,2.3308218526,2.6255399424,3.6540596009,4.0537466061,3.0373230242,-1.081533685,1.6845017333,-2.050075323,5.2141379194,4.2406440488,5.6743139461,6.4620872936,7.0601112267,5.5367228461,1.4324380216,4.1006557346
040,1,2,36,New York,18976457,18976811,18998044,19088978,19161873,19231101,19297933,19330891,19356564,19422777,19467789,19541453,21233,90934,72895,69228,66832,32958,25673,66213,45012,73664,63761,256446,251987,252301,252899,247192,245932,252516,250937,249132,37024,157301,158751,156000,154857,152696,146865,149138,150473,154116,26737,99145,93236,96301,98042,94496,99067,103378,100464,95016,31615,122547,111275,92178,83938,84086,86351,77136,75365,75099,-36939,-166711,-179642,-187893,-209348,-247727,-244289,-184808,-131048,-98178,-5324,-44164,-68367,-95715,-125410,-163641,-157938,-107672,-55683,-23079,-180,35953,48026,68642,94200,102103,84544,70507,231,1727,13.466319315,13.175497716,13.143081857,13.127710391,12.798318686,12.713785386,13.023222855,12.904774901,12.772973133,8.260083973,8.3005212093,8.1264868931,8.0384574397,7.9058062964,7.5923836293,7.691621165,7.7382777098,7.9015121596,5.2062353418,4.8749765071,5.0165949634,5.0892529514,4.8925123892,5.1214017567,5.3316016897,5.1664971911,4.8714609733,6.4351053753,5.8181712088,4.8018160823,4.3571297427,4.3535366233,4.4640310406,3.978200661,3.8757471414,3.8503183425,-8.754215544,-9.392836776,-9.787884627,-10.86702563,-12.82601821,-12.62884829,-9.531260472,-6.739320791,-5.033576402,-2.319110168,-3.574665568,-4.986068545,-6.509895888,-8.472481585,-8.164817251,-5.553059811,-2.863573649,-1.18325806
040,3,5,37,North Carolina,8049313,8046406,8079383,8203451,8316617,8416451,8531283,8669452,8866977,9064074,9247134,9380884,32977,124068,113166,99834,114832,138169,197525,197097,183060,133750,28630,119915,118073,117443,119028,121616,124802,130670,131711,131363,16648,71905,71162,72244,73686,74541,73942,75902,76988,78306,11982,48010,46911,45199,45342,47075,50860,54768,54723,53057,9809,29818,23460,9613,29177,23173,26441,20041,21830,21211,11124,47275,44281,47735,44574,73070,123558,120063,104228,59108,20933,77093,67741,57348,73751,96243,149999,140104,126058,80319,62,-1035,-1486,-2713,-4261,-5149,-3334,2225,2279,374,14.729008476,14.294493219,14.037234535,14.046479606,14.140791077,14.233456538,14.574717344,14.385834075,14.103808575,8.832000621,8.6152187751,8.6348779554,8.6956757759,8.6671877684,8.4329597548,8.4659845092,8.4088390018,8.4073356596,5.897007855,5.6792744437,5.4023565792,5.3508038302,5.4736033082,5.800496783,6.1087328345,5.9769950732,5.6964729152,3.6625073989,2.8401820138,1.1489823623,3.443174173,2.6944197443,3.0155512277,2.2353402486,2.3843320441,2.2773222573,5.8067287304,5.3608738172,5.7054689552,5.2601722449,8.4961485657,14.091580447,13.391629972,11.384065978,6.3461394551,9.4692361293,8.201055831,6.8544513176,8.7033464179,11.19056831,17.107131674,15.626970221,13.768398022,8.6234617124
040,2,4,38,North Dakota,642200,642195,641200,636267,633617,632809,636303,635365,636771,638202,641421,646844,-995,-4933,-2650,-808,3494,-938,1406,1431,3219,5423,1878,7677,7681,7860,8081,8254,8627,8721,8866,9052,1384,5958,6012,5999,5867,5748,5738,5806,5493,5632,494,1719,1669,1861,2214,2506,2889,2915,3373,3420,258,651,264,-545,1025,535,815,461,583,521,-1714,-6791,-4061,-1417,939,-3396,-1903,-2031,-786,1375,-1456,-6140,-3797,-1962,1964,-2861,-1088,-1570,-203,1896,-33,-512,-522,-707,-684,-583,-395,86,49,107,12.019097167,12.09716793,12.412884764,12.734888647,12.981375642,13.563015275,13.6802897,13.85720638,14.05300928,9.3278339088,9.4685813822,9.4739053052,9.245834883,9.0400953708,9.021048064,9.1076438481,8.5853411513,8.7435426717,2.6912632577,2.6285865481,2.9389794587,3.4890537636,3.9412802713,4.5419672111,4.5726458521,5.2718652291,5.3094666082,1.01920441,0.4157860088,-0.860689847,1.6153026683,0.8414145831,1.2813095455,0.7231525687,0.9112058786,0.8088397962,-10.63197719,-6.395859779,-2.237793602,1.4797748347,-5.34101668,-2.991818485,-3.18594982,-1.228486828,2.1346539726,-9.612772776,-5.980073771,-3.098483449,3.095077503,-4.499602097,-1.710508939,-2.462797251,-0.317280949,2.9434937688
040,2,3,39,Ohio,11353140,11353150,11363844,11396874,11420981,11445180,11464593,11475262,11492495,11520815,11528072,11542645,10694,33030,24107,24199,19413,10669,17233,28320,7257,14573,38973,154456,148641,148591,150407,148208,149362,151747,149701,148930,25115,109207,108482,107936,109787,109532,105773,107617,107757,108689,13858,45249,40159,40655,40620,38676,43589,44130,41944,40241,3726,15267,14227,11965,12745,12936,13752,12136,11863,11835,-7165,-37743,-37629,-33302,-37859,-45059,-44306,-42371,-46491,-36278,-3439,-22476,-23402,-21337,-25114,-32123,-30554,-30235,-34628,-24443,275,10257,7350,4881,3907,4116,4198,14425,-59,-1225,13.572155325,13.028481424,12.996584779,13.1303789,12.921441744,13.006233042,13.187759605,12.989868014,12.910738752,9.5960944642,9.5085186579,9.4406752406,9.5842940041,9.5494936651,9.2105641835,9.3525876982,9.3502996479,9.4222472583,3.9760608606,3.519962766,3.5559095381,3.5460848957,3.371948079,3.7956688587,3.835171907,3.6395683661,3.4884914934,1.3415218272,1.2470059083,1.0465246003,1.1126256031,1.1278188114,1.1975048325,1.054694001,1.0293772537,1.0259759157,-3.31650346,-3.298206602,-2.912775783,-3.30505239,-3.928446801,-3.858104211,-3.682303849,-4.03412104,-3.144939102,-1.974981633,-2.051200693,-1.866251182,-2.192426787,-2.80062799,-2.660599379,-2.627609848,-3.004743787,-2.118963186
040,3,7,40,Oklahoma,3450654,3450638,3453943,3464729,3484754,3498687,3514449,3532769,3574334,3612186,3644025,3687050,3305,10786,20025,13933,15762,18320,41565,37852,31839,43025,12097,49570,50371,50632,50923,51859,52485,54988,54579,54262,8055,35007,35080,35020,35736,35856,35765,35173,34792,34815,4042,14563,15291,15612,15187,16003,16720,19815,19787,19447,2082,7125,5670,2532,7289,5885,6837,5231,5523,5340,-2821,-9047,1197,-1499,-4257,-821,18863,12974,6529,18345,-739,-1922,6867,1033,3032,5064,25700,18205,12052,23685,2,-1855,-2133,-2712,-2457,-2747,-855,-168,0,-107,14.329339503,14.496330159,14.500587891,14.52217667,14.717580753,14.76973107,15.303095239,15.043388347,14.803286012,10.11957208,10.095715034,10.029439642,10.191161272,10.175930417,10.064579056,9.7886042201,9.5895778113,9.4979249292,4.2097674236,4.4006151249,4.4711482491,4.3310153974,4.5416503363,4.7051520148,5.5144910193,5.4538105356,5.3053610828,2.059643816,1.6317760616,0.7251439512,2.0786706546,1.6701626088,1.9239906893,1.4557811013,1.5222820836,1.4568122683,-2.615241769,0.3444860575,-0.429301257,-1.214007542,-0.232999745,5.3082106732,3.6106488259,1.7995617823,5.0047230454,-0.555597953,1.9762621191,0.2958426942,0.8646631122,1.4371628634,7.2322013625,5.0664299271,3.3218438659,6.4615353137
